Time,Speed,Location,County,State,Lat,Lon,Comments
0010,UNK,3 N Clinton,Laurens,SC,34.52,-81.87,Laurens County 911 call center reported tree limbs obstructing traffic on I-26 W. Time estimated from radar. (GSP)
0012,UNK,Weaverville,Buncombe,NC,35.7,-82.56,County official reports a couple trees blown down on Moore Street. (GSP)
0015,UNK,Fayetteville,Fayette,GA,33.45,-84.45,Wires down along Booker Avenue due to a fallen tree. (FFC)
0018,UNK,2 ESE Static,Clinton,KY,36.62,-85.04,Trees down on Beatty Creek Road. (LMK)
0020,UNK,4 W Sharpsburg,Coweta,GA,33.33,-84.71,Tree downed along Hwy 16 and Martin Mill Road. (FFC)
0030,UNK,3 E Blair,Fairfield,SC,34.42,-81.35,Fairfield County dispatch reported numerous trees down and power outages all across the county. (CAE)
0030,60,4 NW Small,Clark,ID,44.26,-112.44,Pacificorp Medicine Lodge. (PIH)
0032,UNK,1 NNE Peachtree City,Fayette,GA,33.41,-84.57,Several trees were downed at the intersection of North Peachtree Parkway and Flat Creek Road. (FFC)
0035,UNK,5 SW Blair,Newberry,SC,34.36,-81.46,SC Highway Patrol reported a tree down near Highway 34 and Ringer Road. (CAE)
0035,UNK,8 SW Whitmire,Newberry,SC,34.42,-81.71,SC Highway patrol reported a tree down along I-26. (CAE)
0036,66,7 NW Elk Mountain,Carbon,WY,41.75,-106.51,Mesonet station WY18 Halleck Ridge (WYDOT). (CYS)
0038,UNK,4 ENE Joanna,Laurens,SC,34.43,-81.74,Laurens County 911 call center reported tree limbs down obstructing traffic on I-26 W. Time estimated from radar. (GSP)
0040,UNK,1 SW Turin,Coweta,GA,33.31,-84.65,Tree downed along Ragsdale Road and hwy 54. (FFC)
0042,UNK,3 SSW Greenwood,Greenwood,SC,34.15,-82.18,Trees down on powerlines at 117 Holmes Rd. (GSP)
0043,UNK,2 S Digbey,Spalding,GA,33.22,-84.49,Powerlines down at the intersection of Line Creek and Hollonville Road. (FFC)
0045,UNK,2 NE Jamestown,Fentress,TN,36.46,-84.91,Several trees were blown down along Pickett Park Hwy. (OHX)
0052,UNK,5 E Murrayville,Hall,GA,34.42,-83.83,Tree down along Jess Helton Rd between T Martin Rd and Helton Rd. (FFC)
0053,74,1 SSW Lander,Fremont,WY,42.82,-108.73,ASOS station KLND Lander Airport. (RIW)
0055,UNK,7 NNW Newberry,Newberry,SC,34.36,-81.67,SC Highway Patrol reported trees down along I-26 north of Jalapa. (CAE)
0100,UNK,Ellsworth,Clark,WA,45.61,-122.58,Large tree branch around 3-4 inches down. (PQR)
0103,UNK,5 NNE Harbison State Fo,Richland,SC,34.16,-81.1,SC Highway Patrol reported multiple trees down along Monticello & Kinsler Rds. Time estimated by radar. (CAE)
0105,UNK,3 SSE Walker Mill,Spalding,GA,33.25,-84.15,Powerlines down along Tomochichi Road. (FFC)
0115,UNK,3 WSW Evanston,Hancock,TN,36.49,-83.33,Social media report of trees and powerlines down in the western portion of the county; time is estimated from radar. (MRX)
0117,UNK,8 NNW Silverstreet,Newberry,SC,34.33,-81.78,Newberry County Dispatch reported multiple trees down along Bush River Rd near Crowder Rd. Time estimated by radar. (CAE)
0122,UNK,3 SE Mckibben,Butts,GA,33.24,-84.01,There is a tree down along Brooks Road. (FFC)
0125,UNK,2 NE Elgin,Scott,TN,36.35,-84.58,911 call center received 3 calls of downed trees as well as sporadic reports of power outages across the county. Time estimated by radar. (MRX)
0130,UNK,3 WNW Odell,Hood River,OR,45.65,-121.59,Corrects previous tstm wnd dmg report from 3 WNW Odell. Few downed trees... unknown time. (PQR)
0140,UNK,1 NE Edgefield,Edgefield,SC,33.79,-81.92,Edgefield County Dispatch reported trees down along Addison Street in Edgefield. (CAE)
0145,UNK,1 NNW Phoenix,Jackson,OR,42.28,-122.82,Spotter shared images of several downed trees. Estimated trunk diameter of 4 to 6 inches. Estimated height of 20 to 30 feet. (MFR)
0157,UNK,1 WSW Juliette,Monroe,GA,33.1,-83.82,Tree downed along Newton and Juliette Road. (FFC)
0229,58,5 W Arlington,Gilliam,OR,45.71,-120.29,ODOT at Blalock Canyon. (PDT)
0230,UNK,5 N Clarksville,Montgomery,TN,36.63,-87.33,Social media reports of several trees down and minor roof damage to homes in the I-24 Exit 1 and Tiny Town Road areas. (OHX)
0232,63,5 ENE Rufus,Sherman,OR,45.73,-120.65,Corrects previous tstm wnd gst report from 5 ENE Rufus. ODOT Sensor I84 EB at LePage Park - John Day River MP114.41. (PDT)
0245,70,Arlington,Gilliam,OR,45.72,-120.19,(PDT)
0251,UNK,4 SSE Coopertown,Robertson,TN,36.38,-86.95,Tree down on house in the 1600 block of Martin Chapel Rd. No injuries but minor damage to house. (OHX)
0305,UNK,Nashville,Davidson,TN,36.17,-86.79,Tree snapped blocking 7th Ave N behind the Farmers Market. (OHX)
0309,UNK,4 NNW Burch,Surry,NC,36.33,-80.8,The Surry County 911 Center reported that a tree was down blocking both lanes of traffic near the intersection of Joe Layne Mill Road and Poplar Springs Road in Elkin. (RNK)
0325,UNK,1 WSW Pilot Mountain,Surry,NC,36.38,-80.49,The Surry County 911 Center reported that a tree was down along the on ramp to U.S. 52 at its intersection with South Key Street near Pilot Mountain. (RNK)
0347,68,2 NW Pendleton,Umatilla,OR,45.69,-118.84,Pendleton Airport. (PDT)
0402,60,1 ESE Hermiston,Umatilla,OR,45.83,-119.26,(PDT)
0413,UNK,1 S Fairview,Williamson,TN,35.97,-87.12,Facebook report of a tree down blocking Chester Rd at Birch Bark Dr. (OHX)
0442,UNK,Spring Hill,Maury,TN,35.74,-86.92,Delayed report. Tspotter photo showed a fence partially blown down in Spring Hill. (OHX)
0509,64,2 NW Alcoa,Blount,TN,35.81,-84,McGhee Tyson Airport(KTYS) ASOS station recorded 64 mph wind gust. (MRX)
0511,61,2 ENE Wheeler Peak Snot,White Pine,NV,39.02,-114.27,Station (MTHN2) Mather... Elevation 9268 ft. (LKN)
0530,UNK,2 NW Wenatchee,Chelan,WA,47.44,-120.35,795 customers without power... via Chelan PUD. Cause was noted on social media as a downed tree. (OTX)
0545,62,10 SSW Oro Valley,Pima,AZ,32.3,-111.03,Mesonet station UP550 Tucson Ruthrauff Rd/I-10. (TWC)
0740,UNK,2 E Fountain Hills,Maricopa,AZ,33.6,-111.71,***Delayed Report*** Multiple downed trees around the Fountain Park area in Fountain Hills. A 61 mph gust was measured. Timing estimated from radar. (PSR)
0740,UNK,1 NW North Scottsdale,Maricopa,AZ,33.64,-111.91,***Delayed Report*** 100-150 downed trees reported across the TPC Scottsdale Golf Course. Timing estimated from radar. (PSR)
0859,77,1 NE Winner,Tripp,SD,43.38,-99.84,(UNR)
0915,63,4 NNE Colome,Tripp,SD,43.31,-99.69,(UNR)
0945,UNK,2 NNW Winner,Tripp,SD,43.4,-99.88,Shingles blown off roof and 5 inch diameter tree branches broken off. (UNR)
1152,UNK,10 WSW Ewing,Holt,NE,42.22,-98.52,Caller relays report of multiple 6 to 8 inch branches downed in pasture 2 miles to east. Time estimated from radar. (LBF)
